Participant Number,Age,Gender,Ethnicity (simplified),Country of birth,Country of residence,Nationality,First Language
424,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English
425,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English
426,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English
427,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English
428,30,Male,Black,Zimbabwe,United Kingdom,Zimbabwe,Other
429,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English
430,32,Male,Black,Nigeria,United Kingdom,Nigeria,English
431,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English
432,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English
433,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English
434,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English
